App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5814475,HDR,08/25/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5809882,HDR,08/05/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5795489,HDR,06/04/2017,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5806849,HDR,07/24/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5815951,HDR,09/01/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5818503,HDR,09/13/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5817997,HDR,09/11/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5819305,HDR,09/16/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5805165,HDR,07/16/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5801047,HDR,06/27/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5812906,PDR,08/17/2017,Under Review,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,09/24/2017 06:00:40 PM
5808337,HDR,07/30/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5812222,HDR,08/15/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5813706,HDR,08/22/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5817006,HDR,09/07/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5815264,HDR,08/29/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5807371,HDR,07/26/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5801343,HDR,06/29/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5795396,HDR,06/03/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5808789,HDR,08/01/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5812713,HDR,08/17/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5797779,HDR,06/13/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5805056,HDR,07/15/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5818054,HDR,09/11/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5795386,HDR,06/03/2017,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5815581,HDR,08/30/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816274,HDR,09/03/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5803988,HDR,07/11/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5820122,HDR,09/20/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5807233,HDR,07/25/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5820244,HDR,09/20/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5816963,HDR,09/07/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5819325,HDR,09/17/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5806599,HDR,07/21/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5820066,HDR,09/19/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5803041,HDR,07/07/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5805027,HDR,07/15/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5818894,HDR,09/14/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5814237,HDR,08/24/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5791699,HDR,05/18/2017,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5805102,HDR,07/15/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5803847,HDR,07/10/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5818370,HDR,09/12/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5797683,HDR,06/13/2017,Denied,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5818505,HDR,09/13/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5819753,HDR,09/18/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5820239,HDR,09/20/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5811624,HDR,08/13/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5814185,HDR,08/23/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5817874,HDR,09/11/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5805988,HDR,07/19/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5814158,HDR,08/23/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5799306,HDR,06/20/2017,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5803036,HDR,07/06/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5812002,HDR,08/14/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5805576,HDR,07/18/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816250,HDR,09/02/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5820861,HDR,09/22/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5802656,HDR,07/05/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5814744,HDR,08/26/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816386,HDR,09/04/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5798724,HDR,06/16/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5803394,HDR,07/08/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5812942,HDR,08/18/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5812674,HDR,08/17/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5812474,HDR,08/16/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5819982,HDR,09/19/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5800873,HDR,06/27/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5819310,HDR,09/16/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5802837,HDR,07/06/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5815507,HDR,08/30/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816007,HDR,09/01/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5799451,HDR,06/20/2017,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5818970,HDR,09/15/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5803467,HDR,07/09/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5807548,HDR,07/26/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5806633,HDR,07/21/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5802092,HDR,07/01/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5815320,HDR,08/29/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5810122,HDR,08/07/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5798521,HDR,06/15/2017,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5797123,HDR,06/10/2017,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5812215,HDR,08/15/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5802570,HDR,07/05/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5804137,HDR,07/11/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5803944,HDR,07/11/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5820470,HDR,09/21/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5817733,HDR,09/10/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5807139,HDR,07/25/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,09/24/2017 06:00:40 PM
5805719,HDR,07/18/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5811535,HDR,08/12/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816443,HDR,09/05/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5805446,HDR,07/18/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5816585,HDR,09/05/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5803804,HDR,07/10/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5810231,HDR,08/07/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5819578,HDR,09/18/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5817661,HDR,09/09/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5819689,HDR,09/18/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5812198,HDR,08/15/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5804744,HDR,07/14/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5803825,HDR,07/10/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5810747,HDR,08/09/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,09/24/2017 06:00:40 PM
5814085,HDR,08/23/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5813858,HDR,08/22/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5795954,HDR,06/06/2017,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5817494,HDR,09/08/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5801474,HDR,06/29/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5796046,HDR,06/06/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5820209,HDR,09/20/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5819354,HDR,09/17/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5796740,HDR,06/08/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5816810,HDR,09/06/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Not Applicable,09/24/2017 06:00:40 PM
5802778,HDR,07/06/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,09/24/2017 06:00:40 PM
5810361,HDR,08/07/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,09/24/2017 06:00:40 PM
5803506,HDR,07/10/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5810069,HDR,08/07/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5809028,HDR,08/02/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5814832,HDR,08/28/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5803780,HDR,07/10/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5811219,HDR,08/10/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5813746,HDR,08/22/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,09/24/2017 06:00:40 PM
5810072,HDR,08/07/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5818610,HDR,09/13/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5810084,HDR,08/07/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5812531,HDR,08/16/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5819538,HDR,09/18/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5810385,HDR,08/07/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5806416,HDR,07/21/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5809122,HDR,08/02/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5813679,HDR,08/22/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5799534,HDR,06/20/2017,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5816809,HDR,09/06/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5803367,HDR,07/08/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5794012,HDR,05/30/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5811563,HDR,08/12/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5814214,HDR,08/24/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5816794,HDR,09/06/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5815253,HDR,08/29/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5818281,HDR,09/12/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5801737,HDR,06/30/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5808243,HDR,07/29/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5795757,HDR,06/05/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5796074,HDR,06/06/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5820175,HDR,09/20/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,09/24/2017 06:00:40 PM
5817816,HDR,09/11/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5814901,HDR,08/28/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5820284,HDR,09/20/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,09/24/2017 06:00:40 PM
5818473,HDR,09/13/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5805142,HDR,07/16/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,09/24/2017 06:00:40 PM
5811308,HDR,08/11/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5820846,HDR,09/22/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5811870,HDR,08/14/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
